"","item_1","item_2","item_3","item_4"
"2014-10-15",573.911857714847,132.598989247843,211.090947265669,88.9220767073857
"2014-10-22",743.228641660668,136.837583047513,211.456766207862,95.0170245253491
"2014-10-29",610.94628855548,136.083222690844,209.486386022111,93.2889824990735
"2014-11-05",599.230418835627,140.695758019462,196.543165695867,93.0104216618724
"2014-11-12",566.053564728152,152.48021884674,203.047474259094,93.7157672444597
"2014-11-19",722.485856805808,162.310115288112,202.244272088329,91.5028946373011
"2014-11-26",515.468994417902,166.256818087581,202.506744176892,91.8114177446813
"2014-12-03",524.753895926766,178.302202081672,202.838480056977,96.6702888549469
"2014-12-10",450.392709521055,238.993369375392,204.373551121047,95.9930839681276
"2014-12-17",477.283851227358,263.240013573089,204.778324348853,93.7895188151269
"2014-12-24",620.164513803325,272.394858586181,193.598575674654,95.8663068690647
"2014-12-31",497.603801344635,281.712571424373,194.546393413938,100.313619264707
"2015-01-07",492.171445695973,300.848695051786,199.336580399203,108.050557497818
"2015-01-14",476.722087270254,226.700259750258,202.516990097213,107.033798667697
"2015-01-21",617.834170512139,254.35786205745,192.523747656506,107.60768629234
"2015-01-28",499.06462393199,244.419240642335,209.017128518972,104.503277404353
"2015-02-04",520.992985197607,259.337729789347,201.708377897204,108.639323137609
"2015-02-11",485.356029579154,275.959402911981,203.076005665061,102.539501099368
"2015-02-18",466.703547294064,284.580862413575,201.536769365911,106.397302319587
"2015-02-25",487.754154000707,281.563677663525,200.9757614436,103.317509640906
"2015-03-04",512.854966286225,296.441646800071,209.755666707062,108.721024676969
"2015-03-11",492.323740087175,307.379776487042,198.20844860287,106.220851962673
"2015-03-18",511.86159745469,443.336979289423,196.302294417285,104.518304316049
"2015-03-25",534.339004281305,433.766385026231,196.84749725703,107.218135641449
"2015-04-01",593.884736560992,290.809203376547,199.073993453764,112.825780501084
"2015-04-08",598.525869430033,292.115185293044,199.335134162347,110.98201472849
"2015-04-15",548.420604251697,290.418236143442,194.933117269283,112.712817136822
"2015-04-22",749.59052623182,298.514160674643,195.932801192774,110.158439614651
"2015-04-29",500.94625478025,290.581625927117,196.250133601712,112.451980034515
"2015-05-06",530.144466619284,269.992386665913,194.979616104888,114.855366271455
"2015-05-13",487.779259032417,271.979282361152,190.610445965676,105.01418531539
"2015-05-20",612.237426661235,265.513306381649,201.759287414014,99.8918273669381
"2015-05-27",512.101850050209,242.680894327277,207.825561593063,103.687751276655
"2015-06-03",533.5513938873,235.225105503414,198.25414859386,100.28446950176
"2015-06-10",501.50916138566,221.879161255273,200.923758333778,98.404601907465
"2015-06-17",484.556596610729,215.241332653426,202.226523586806,98.7815099147607
"2015-06-24",621.177530220645,214.483112370769,197.724468458368,95.8379739372289
"2015-07-01",512.243836583475,195.14677775596,200.677426150194,105.411944372066
"2015-07-08",528.407007962251,185.162815593691,194.887675459359,105.042511779123
"2015-07-15",476.845185781249,181.308128041771,196.497683348279,100.136436840276
"2015-07-22",608.173055699767,174.063028379734,195.335851538056,102.740306644764
"2015-07-29",501.363974776389,157.111221969235,196.252271805269,101.14281609447
"2015-08-05",495.052643561611,155.759723899362,198.297141153639,93.1612657206962
"2015-08-12",503.072563177329,155.999051938423,202.443609937469,93.6425813815533
"2015-08-19",624.599346405709,153.727586085674,207.163503753571,86.921961902862
"2015-08-26",500.270413673797,139.484742527315,202.504275191417,89.0124246756968
"2015-09-02",517.862606835278,138.034883499124,194.817334365536,89.3837113937188
"2015-09-09",509.39218613318,129.072561065684,194.959457745296,82.1256416002143
"2015-09-16",483.539220782355,129.430513284745,201.507424744244,84.4162038181967
"2015-09-23",639.947040175823,127.776238653186,202.931470052334,88.4123850424154
"2015-09-30",510.417278009905,133.724389828882,198.386235902913,91.7486627791994
"2015-10-07",519.48554733406,124.319973904849,190.129041143324,96.7052701191834
"2015-10-14",486.700239811704,130.290964185739,198.849681141084,96.062423728749
"2015-10-21",630.85204097807,139.141982315145,200.48279856127,94.7650296176926
"2015-10-28",501.595187328055,134.408785883048,210.324895230588,95.1552617368525
"2015-11-04",521.563387286449,152.526305944468,213.831342855585,97.8094114744184
"2015-11-11",482.476146431242,159.714541612025,202.104347355774,94.4420937946964
"2015-11-18",449.488420803955,165.301524478248,208.23917839415,91.406127224417
"2015-11-25",522.074361575729,161.922704629408,205.310875066321,92.5764149207876
"2015-12-02",537.453043546352,166.289628393123,205.801056477237,90.1873930442274
"2015-12-09",503.298786141559,169.00099545762,209.655542820682,95.4770837819107
"2015-12-16",478.558772088962,192.83554324651,206.057107024341,94.4270524924795
"2015-12-23",631.323858197893,211.18371167809,206.129903918783,99.1245765918256
"2015-12-30",526.186217548199,210.220858030961,203.225243974869,107.161888539454
"2016-01-06",498.957828852239,225.769732425346,203.415846943547,105.516389998167
"2016-01-13",490.970758112382,241.510917131483,209.206371519276,107.642995731821
"2016-01-20",634.922007343362,252.587089312645,192.779348285842,104.600637250437
"2016-01-27",516.054574233251,252.101328554661,190.016581660741,111.74437152787
"2016-02-03",505.456217272133,251.529158311639,187.387315321343,108.029474401535
"2016-02-10",492.558329139487,270.84655878253,194.638849842782,102.692309325253
"2016-02-17",926.998488319447,238.735764183522,204.786330383373,95.9138209701617
"2016-02-24",1347.52913111557,264.563800861377,198.274245819597,98.293832962527
"2016-03-02",522.595769160296,284.967660048455,195.482212564194,105.209075932932
"2016-03-09",497.661327044721,297.241897326306,199.927906139292,105.134354226114
"2016-03-16",479.205741483534,299.429918895502,207.425788544019,106.197859775306
"2016-03-23",655.048106776335,309.130204705721,200.21498773115,110.920138935644
"2016-03-30",527.740204841992,301.930404824222,200.133821398853,112.964094975285
"2016-04-06",541.312933799825,301.644618794576,202.495127431135,114.347959490246
"2016-04-13",455.478368991493,283.476549891822,209.98180152148,170.140159267731
"2016-04-20",609.772909865805,300.916055496955,211.435919769111,170.787328727761
"2016-04-27",480.080721678807,276.678617400703,210.251703934071,168.563604199595
"2016-05-04",503.380154873957,275.781691267663,208.357187345219,109.946366308393
"2016-05-11",483.721679846279,264.492497076106,206.827119089014,103.167904960245
"2016-05-18",471.928631340362,255.731021502664,199.943346521356,97.1625380461942
"2016-05-25",484.830997322358,244.103318313206,197.258189667185,99.4610878933979
"2016-06-01",507.732683838863,232.535485868377,196.385197857844,103.870518662535
"2016-06-08",766.256143220671,202.817839059166,195.66932794301,91.3779689785117
"2016-06-15",716.786631825029,201.038400415438,199.497633696112,90.9147501141723
"2016-06-22",966.484699057728,203.023029912535,196.014257140786,97.4176289487471
"2016-06-29",656.904557643772,376.495940556802,190.574100663068,92.6437599514942
"2016-07-06",680.216321434193,347.692213423074,196.105057777595,100.409516981686
"2016-07-13",434.555957627109,350.510832051671,189.05827746814,96.8753218651753
"2016-07-20",533.419215948852,355.435132359834,199.695048423298,100.587088002385
"2016-07-27",451.395959498078,328.270952060126,196.708366800043,97.03542980346
"2016-08-03",525.46667265561,154.015710430718,196.186397679955,98.1411385158048
"2016-08-10",495.715159419433,147.623989388596,198.059057320835,88.1947649332456
"2016-08-17",455.985242999655,148.361757003286,195.201940201352,90.5717176300832
"2016-08-24",636.397622895231,145.052023304657,191.906967607823,86.9513903406917
"2016-08-31",498.624037898084,149.235222706746,199.588375145232,85.773339332923
"2016-09-07",483.083915482913,138.651607445479,196.65988169605,87.1545403137135
"2016-09-14",484.461364478806,139.356354856712,194.879373516513,86.6957850687225
"2016-09-21",630.825404532852,143.425224534579,194.033794268597,91.6192120988121
"2016-09-28",507.50512997891,137.909932348302,193.152284271232,95.1421315345382
"2016-10-05",516.419812931745,135.158852798466,188.349423811634,94.3329836255765
"2016-10-12",593.919978806262,134.55560294998,189.8231270325,97.131430823179
"2016-10-19",721.338997736368,137.792828183361,196.616665598373,90.8307903146466
"2016-10-26",616.525573188867,135.536101505011,200.664438454003,98.0550621129044
"2016-11-02",633.430107360821,145.794379558552,203.708070027226,93.5295791509078
"2016-11-09",535.834337391232,146.001008898198,203.651823896094,181.567554977985
"2016-11-16",508.296956488351,158.399708260149,201.258508000441,185.829284010892
"2016-11-23",760.621993758669,171.693524870285,205.667156963327,94.1914843088095
"2016-11-30",626.017010650181,173.673737287395,204.025328330191,89.3365631726342
"2016-12-07",594.575098051049,176.518419418726,202.728244281245,96.0842860118225
"2016-12-14",463.168625921615,192.52253630073,204.439498703512,94.9774575770374
"2016-12-21",631.429448126758,202.733174013945,198.669891067653,100.783468872314
"2016-12-28",488.010616480545,209.897566795249,192.034985132802,99.6794985004745
"2017-01-04",497.74962114539,226.121311406932,195.183091601118,109.338694147289
"2017-01-11",471.39226926681,234.377018475088,194.67501286515,107.34969193697
"2017-01-18",481.837020918027,243.072592441271,197.128882969967,113.033254296165
"2017-01-25",499.314637864603,247.702715428887,208.805854881525,106.433283800956
"2017-02-01",509.987304186092,248.281016539019,210.488808084213,110.492604955401
"2017-02-08",505.198345681945,263.462256478286,205.897989944365,101.225953106117
"2017-02-15",488.097352896472,281.271839919048,215.203472593426,105.630774690341
"2017-02-22",621.052641344944,452.769400503048,217.567534837285,98.7455161064803
"2017-03-01",475.759228236171,421.031379524249,211.751071332044,99.4602545499838
"2017-03-08",479.251767448423,434.331387693038,205.933773133641,102.057564616905
"2017-03-15",445.91349327118,444.670675471632,204.176140535753,102.74554854062
"2017-03-22",614.836324949729,374.483568527229,201.596403840099,105.694445659819
"2017-03-29",505.447442094777,362.479569469004,196.213603930452,108.144586358354
"2017-04-05",516.820496192243,348.284382120647,188.592977778447,112.955564205455
"2017-04-12",488.444343633511,336.959966682067,192.34409887212,115.367176211274
"2017-04-19",621.392960926047,347.317644728372,187.537162071068,112.429425566284
"2017-04-26",515.071574876159,270.999651654605,196.199416903889,113.831023455364
"2017-05-03",559.703172560215,271.942391266881,190.195605981622,109.109878175814
"2017-05-10",515.915064148842,258.875476364501,200.23254108182,103.935615354213
"2017-05-17",458.665220671314,250.308770314774,196.83929563288,96.6102947726196
"2017-05-24",635.490691605503,265.259780691605,189.543799305912,101.537522340216
"2017-05-31",535.243893680399,231.192382047294,192.692069024105,103.075334920277
"2017-06-07",523.731454377309,229.633485396634,189.373714358852,96.5123213070608
"2017-06-14",491.217419647036,220.004716520419,195.183622221067,100.964822590976
"2017-06-21",605.039447904723,216.118690692833,208.813862016383,99.2774238857613
"2017-06-28",514.497775487619,208.034156013123,204.482629711678,94.7346679810409
"2017-07-05",530.070585134515,183.97263913432,204.600909237898,98.908918878271
"2017-07-12",499.709134800446,174.627574991888,206.868739171625,102.135184568533
"2017-07-19",620.457003515639,174.243546561283,207.393376357851,98.513934598572
"2017-07-26",490.909613492074,161.542349268634,206.705691938302,93.6460572541921
"2017-08-02",518.59258118858,154.682324087505,209.555291592449,129.662372635721
"2017-08-09",504.447480045498,146.760807581301,205.026347132585,92.3368825554346
"2017-08-16",471.930618509741,145.967998282218,214.331936861348,90.5022444682499
"2017-08-23",1287.9979984668,126.699008859893,212.554018006593,81.5739084470573
"2017-08-30",1052.85356331687,121.567138510989,212.09381045634,81.8599219427102
"2017-09-06",528.008700950913,131.707301125927,217.688764819152,87.5259351913773
"2017-09-13",468.755135242851,132.838839253963,209.278129001789,89.16675183938
"2017-09-20",633.190814266276,143.947601103422,205.204772495687,88.8695647280528
"2017-09-27",791.364624459037,126.687303022306,205.463360035678,90.5087119721563
"2017-10-04",766.525007673861,119.913397584955,203.20100573276,92.8326798756564
"2017-10-11",709.7984765917,125.068348962241,201.101927001686,95.4071616255277
"2017-10-18",463.200350079131,130.549150023345,193.851763393191,98.6400298714871
"2017-10-25",505.812504673316,143.730215842096,189.785530256703,94.2743925955078
"2017-11-01",513.953686872107,146.503966382419,200.346995347314,95.7665774088183
"2017-11-08",475.931399028356,176.289738523454,205.010528961101,93.1194841265373
"2017-11-15",447.591260616181,185.402846847703,208.02775934053,91.2035344348208
"2017-11-22",607.316696152133,167.520837254082,211.310176089993,142.252711863838
"2017-11-29",451.226144092725,349.152227406545,203.924556506702,142.54055439899
"2017-12-06",439.32949638087,348.160347475348,199.587497649219,129.789196758828
"2017-12-13",481.728656024444,188.55025506108,199.363375495908,92.1537677127799
"2017-12-20",617.99388152006,210.383862313407,202.360396718168,99.0701043077312
